id,citric_acid,residual_sugar,density,pH,alcohol
0,0.0,1.9,0.9978,3.51,9.4
1,0.0,2.6,0.9968,3.2,9.8
2,0.04,2.3,0.997,3.26,9.8
3,0.56,1.9,0.998,3.16,9.8
4,0.0,1.9,0.9978,3.51,9.4
5,0.0,1.8,0.9978,3.51,9.4
6,0.06,1.6,0.9964,3.3,9.4
7,0.0,1.2,0.9946,3.39,10.0
8,0.02,2.0,0.9968,3.36,9.5
9,0.36,6.1,0.9978,3.35,10.5
10,0.08,1.8,0.9959,3.28,9.2
11,0.36,6.1,0.9978,3.35,10.5
12,0.0,1.6,0.9943,3.58,9.9
13,0.29,1.6,0.9974,3.26,9.1
14,0.18,3.8,0.9986,3.16,9.2
15,0.19,3.9,0.9986,3.17,9.2
16,0.56,1.8,0.9969,3.3,10.5
17,0.28,1.7,0.9968,3.11,9.3
18,0.08,4.4,0.9974,3.38,9.0
19,0.51,1.8,0.9969,3.04,9.2
20,0.48,1.8,0.9968,3.39,9.4
21,0.31,2.3,0.9982,3.52,9.7
22,0.21,1.6,0.9966,3.17,9.5
23,0.11,2.3,0.9968,3.17,9.4
24,0.14,2.4,0.9968,3.43,9.7
25,0.16,1.4,0.9955,3.34,9.3
26,0.24,1.8,0.9962,3.28,9.5
27,0.21,1.6,0.9966,3.17,9.5
28,0.0,1.9,0.9972,3.47,9.4
29,0.0,2.0,0.9964,3.38,9.8
30,0.07,2.4,0.9958,3.35,10.1
31,0.0,2.5,0.9966,3.46,10.6
32,0.12,2.3,0.9966,3.17,9.8
33,0.12,10.7,0.9993,3.45,9.4
34,0.25,1.8,0.9957,3.38,9.2
35,0.0,5.5,0.9986,3.4,9.6
36,0.14,2.4,0.9975,3.42,10.8
37,0.28,2.1,0.9968,3.23,9.7
38,0.09,1.5,0.994,3.5,9.8
39,0.36,5.9,0.9978,3.33,10.5
40,0.36,5.9,0.9978,3.33,10.5
41,0.3,2.8,0.9976,3.26,9.3
42,0.2,2.6,0.9968,3.21,10.5
43,0.22,2.2,0.9968,3.3,10.3
44,0.02,1.8,0.9962,3.48,9.5
45,0.15,2.1,0.9934,3.9,13.1
46,0.43,2.2,0.997,3.25,9.2
47,0.52,1.6,0.9969,3.25,9.5
48,0.23,1.6,0.9958,3.34,9.2
49,0.37,1.4,0.9954,3.32,9.2
50,0.26,1.7,0.9971,3.15,9.2
51,0.04,2.2,0.9956,3.4,9.4
52,0.04,2.1,0.9955,3.39,9.4
53,0.36,3.0,0.997,3.2,9.4
54,0.15,2.8,0.9955,3.17,10.2
55,0.04,3.8,0.9978,3.34,9.5
56,0.57,3.4,0.9971,3.04,9.6
57,0.12,5.1,0.9983,3.26,9.4
58,0.18,2.3,0.9975,3.43,10.0
59,0.31,2.4,0.9962,3.41,9.4
60,0.4,2.2,0.998,3.44,9.2
61,0.49,1.8,0.9968,3.21,9.3
62,0.16,1.9,0.9968,3.38,9.5
63,0.05,2.0,0.9966,3.39,9.8
64,0.05,4.65,0.9962,3.41,10.9
65,0.05,4.65,0.9962,3.41,10.9
66,0.11,1.5,0.9968,3.42,9.6
67,0.07,1.6,0.9962,3.44,10.7
68,0.57,2.0,0.9969,3.28,10.7
69,0.05,1.9,0.9962,3.34,10.5
70,0.08,1.9,0.9967,3.32,9.5
71,0.23,2.1,0.9962,3.32,9.5
72,0.22,1.9,0.9961,3.31,9.5
73,0.26,2.1,0.9976,3.31,9.2
74,0.54,2.5,0.9984,3.28,9.6
75,0.64,2.2,0.9986,3.54,10.5
76,0.64,2.2,0.9986,3.54,10.5
77,0.0,2.4,0.9966,3.52,10.7
78,0.12,2.0,0.9958,3.38,10.1
79,0.2,1.5,0.9972,3.16,9.1
80,0.2,1.6,0.9958,3.41,9.2
81,0.7,1.9,0.9974,3.13,9.4
82,0.47,2.0,0.997,3.36,9.1
83,0.26,1.8,0.9969,3.16,9.4
84,0.48,1.8,0.9959,3.44,10.3
85,0.15,2.2,0.9961,3.41,10.1
86,0.28,1.9,0.9972,2.93,9.9
87,0.26,1.9,0.9966,3.39,9.6
88,0.44,2.1,0.9978,3.14,9.5
89,0.08,1.8,0.9978,3.48,9.0
90,0.26,1.9,0.9964,3.23,9.5
91,0.28,1.9,0.9972,2.93,9.9
92,0.29,2.0,0.9972,2.93,9.8
93,0.26,1.9,0.9966,3.39,9.6
94,0.04,1.4,0.9938,3.75,10.5
95,0.17,2.3,0.9932,3.85,12.9
96,0.0,3.0,0.9965,3.45,10.7
97,0.25,2.0,0.9963,3.25,9.2
98,0.06,2.5,0.9967,3.39,9.8
99,0.18,1.9,0.9972,3.3,9.0
100,0.3,2.1,0.9972,3.4,10.2
101,0.3,1.9,0.9959,3.31,10.4
102,0.18,1.9,0.9972,3.3,9.0
103,0.22,2.1,0.9967,3.29,9.2
104,0.24,2.2,0.996,3.33,9.4
105,0.22,2.1,0.9967,3.29,9.2
106,0.68,1.7,0.9973,3.08,9.3
107,0.31,1.7,0.9969,3.46,9.3
